Model,RMSE,MAE,R²
ExtraTrees (Tuned),0.019382962844756033,0.0013170698765044152,0.999998709764084
ExtraTrees,0.022809062921861904,0.002159398667733465,0.9999982133327076
Gradient Boosting,0.027121355038178932,0.001212665552394389,0.999997473894011
Random Forest,0.03721500916330627,0.0015078253412424043,0.9999952437457621
Decision Tree,0.06007520002202256,0.0018240548845854991,0.9999876057785501
Linear (Ridge),11.97436672474779,4.934211884331612,0.5075820113996901
